X,avg_log2FC,p_val_adj
Rcor2,1.20926661,8.49E-05
Rem2,2.49832213,3.90E-25
Reps2,0.537811388,3.40E-33
Rhobtb3,1.747109293,2.42E-56
Rnf122,5.457061955,6.29E-66
Rnf24,0.682916622,7.27E-12
Rtn4,0.781729412,4.63E-63
S100a10,2.553593322,5.68E-56
Samd14,4.011442523,8.96E-71
Scn3a,2.176038868,9.63E-229
Sec63,0.523669252,9.76E-08
Sema6c,3.575604358,2.16E-91
Serinc1,0.802657122,1.26E-08
Serpini1,0.825423395,6.99E-32
Sestd1,0.723417722,1.82E-11
Sez6,0.927217506,5.02E-21
Sh3bgrl,1.848218751,3.74E-57
Sh3bp2,5.57800504,6.59E-68
Sh3pxd2b,2.489615299,6.10E-46
Shf,1.577822267,4.61E-09
Shkbp1,1.266237696,8.06E-15
Shmt2,2.202062901,1.07E-09
Simc1,2.527318812,1.92E-23
Slc1a4,1.505465029,3.57E-34
Slc29a4,4.312172333,1.69E-59
Slc4a7,1.336743677,4.21E-77
Smad5,1.077259382,0.000563519
Smarca2,0.967772053,5.42E-14
Smarca4,0.782084317,2.14E-26
Smarcad1,0.878111888,8.35E-25
Smarcc1,1.468100724,4.10E-123
Smarce1,0.903378047,0.019534708
Snhg11,0.169880672,6.88E-13
Spag9,0.392897805,3.31E-28
Srgap1,3.88044209,0
St6gal1,2.675994401,1.04E-226
St8sia2,5.738649217,7.13E-135
St8sia4,3.383907113,7.79E-85
Stk36,2.642486059,1.34E-39
Stmn1,3.020338896,0
Syt5,1.565353549,9.20E-47
Tax1bp3,2.386882781,0.000476005
Tead1,1.072229007,3.85E-17
Tes,3.198626901,1.33E-46
Them4,1.72251523,1.29E-23
Thra,1.235983215,7.35E-67
Tia1,0.612057691,1.86E-46
Tiam2,0.364103262,2.41E-06
Tmc7,1.17504731,6.16E-07
Tmeff1,0.546783681,2.76E-16
Tmem132a,1.410030964,1.60E-44
Tmem44,1.927638358,5.24E-131
Tmem98,4.796058352,1.09E-06
Tmsb10,2.294587442,8.83E-189
Top1,0.711720816,5.69E-44
Tox3,4.68344299,1.24E-190
Traf4,2.449440629,1.55E-24
Trib2,0.943758959,0.001556092
Trim16,2.324280842,1.58E-29
Trim24,1.218043708,4.00E-20
Trio,0.493823035,4.99E-57
Trp53i11,7.816902137,1.78E-65
Trp53inp1,1.593703294,1.10E-10
Tsg101,1.110452591,9.05E-18
Tspan6,2.175285129,1.20E-14
Tstd1,3.27581375,9.35E-13
Ttc26,0.997256112,4.32E-08
Ttll1,1.161046795,2.97E-07
Ttyh3,0.811497229,0.000179707
Tuba1a,2.399486385,8.65E-167
Tubb2a,1.191151989,7.16E-13
Tubb2b,5.291627863,1.05E-130
Tubb3,1.59247942,1.88E-132
Tubb5,1.831004412,8.33E-53
Ube2e3,1.011150603,7.23E-18
Uhrf2,0.648574093,7.43E-08
Usp22,0.954244253,2.34E-10
Usp6nl,2.135305861,3.04E-38
Vav2,2.067186367,1.07E-36
Vav3,2.699188219,6.47E-88
Vcan,4.785209549,3.00E-213
Vgll4,1.357798567,2.19E-15
Wbp1,2.335213781,4.55E-41
Ypel1,2.057845081,7.93E-63
Ywhaq,0.930777057,1.39E-20
Zbed4,1.106312154,5.55E-06
Zbtb16,0.603570335,5.36E-53
Zc2hc1a,0.815250054,1.28E-23
Zc4h2,1.178215918,0.00769869
Zfp266,0.62831535,2.87E-07
Zfp358,2.524489851,2.91E-07
Zfp428,1.472970126,0.000189774
Zfp46,2.085668064,3.14E-45
Zfp462,3.412555804,4.53E-296
Zfp566,1.475464227,1.67E-06
Zfp57,7.628895855,5.58E-262
Zfp608,1.858477917,1.69E-234
Zfp647,2.246328622,1.82E-06
Zfp68,1.123970728,0.000655363
Zfp810,1.142466582,5.65E-09
Zfp90,1.715215437,5.77E-15
Zfyve1,1.45835434,1.40E-53
Zscan21,1.114711341,1.89E-05
Zswim6,0.701762329,1.70E-55
