X,avg_log2FC,pct.1,pct.2,p_val_adj
Timm13,0.337854395,0.054,0.128,3.71E-13
Timm17a,0.135655519,0.087,0.219,1.17E-27
Timm17b,2.249051424,0.026,0.019,1
Timm21,-0.067599577,0.042,0.129,7.44E-21
Timm22,0.241927339,0.047,0.113,1.01E-11
Timm23,0.344206721,0.215,0.434,2.59E-30
Timm29,0.12804845,0.012,0.032,0.072617825
Timm44,-0.321698949,0.176,0.485,2.88E-80
Timm50,2.274029123,0.039,0.032,1
Timm8a1,1.104476701,0.015,0.022,1
Timm8a2,-1.998504306,0,0.002,1
Timm8b,0.494726856,0.04,0.099,2.80E-10
Timm9,-0.690147958,0.187,0.57,5.72E-123
Timmdc1,-0.080089501,0.23,0.554,1.09E-69
Timp1,-1.936042453,0.003,0.036,1.88E-11
Timp2,0.692873841,0.064,0.111,0.002062696
Timp3,1.573833526,0.294,0.284,0.000265522
Timp4,-2.829408492,0.016,0.233,2.40E-104
Tinag,-0.482105636,0.001,0.005,1
Tinagl1,3.402285074,0.002,0,1
Tinf2,-0.244804316,0.042,0.113,6.40E-15
Tiparp,-0.543395218,0.069,0.242,8.15E-52
Tipin,1.130171118,0.084,0.135,0.025018313
Tiprl,0.694377271,0.122,0.235,7.16E-14
Tirap,-0.485404833,0.002,0.008,1
Tjap1,-0.658599793,0.071,0.297,7.83E-78
Tjp1,-0.94330859,0.466,0.933,1.29E-205
Tjp2,0.358955585,0.034,0.101,1.12E-15
Tjp3,3.643191824,0.013,0.003,0.520695145
Tk1,1.61504181,0.002,0.003,1
Tk2,1.36140619,0.098,0.088,1
Tkfc,1.746458403,0.031,0.023,1
Tkt,1.839951567,0.146,0.139,1
Tktl1,1.817870863,0.023,0.021,1
Tktl2,3.976436838,0.001,0,1
Tlcd1,-0.654275266,0.003,0.008,1
Tlcd2,0.340406768,0,0.002,1
Tldc1,0,0,0,1
Tldc2,0.753694527,0.001,0.001,1
Tle1,-1.346140985,0.055,0.305,2.18E-100
Tle2,0.152138321,0.098,0.21,1.94E-18
Tle3,0.688500475,0.032,0.059,0.120917818
Tle4,4.809647302,0.868,0.56,0
Tle5,0.998741773,0.094,0.149,0.01945646
Tle6,2.058048239,0.008,0.005,1
Tle7,0,0,0,1
Tlk1,-0.543496591,0.238,0.626,8.00E-108
Tlk2,0.584189531,0.333,0.533,7.69E-05
Tll1,-3.133311941,0.012,0.206,2.39E-94
Tll2,4.621909889,0.017,0.002,1.71E-06
Tln1,1.121633262,0.064,0.091,1
Tln2,0.88041133,0.389,0.552,1
Tlnrd1,0.912179148,0.02,0.042,0.173855105
Tlr1,-0.912035486,0,0.001,1
Tlr11,0,0,0,1
Tlr12,0,0,0,1
Tlr13,0,0,0,1
Tlr2,0,0,0,1
Tlr3,0,0,0,1
Tlr4,-1.783866417,0.001,0.009,1
Tlr5,0,0,0,1
Tlr6,0,0,0,1
Tlr7,-0.948751376,0.001,0.003,1
Tlr8,0,0,0,1
Tlr9,0,0,0,1
Tlx1,0,0,0,1
Tlx1os,0,0,0,1
Tlx2,0,0,0,1
Tlx3,0,0,0,1
Tm2d1,0.372249794,0.178,0.379,3.14E-31
Tm2d2,1.130008329,0.067,0.104,0.738474849
Tm2d3,1.026044182,0.064,0.092,1
Tm4sf1,-1.717058471,0,0.002,1
Tm4sf19,-1.322842377,0,0.001,1
Tm4sf20,0.772215358,0.011,0.019,1
Tm4sf4,0,0,0,1
Tm4sf5,0,0,0,1
Tm6sf1,0.400947725,0.113,0.242,1.60E-20
Tm6sf2,-0.088569346,0.008,0.029,0.002703986
Tm7sf2,1.958783001,0.071,0.057,1
Tm7sf3,0.257325828,0.048,0.102,1.12E-07
Tm9sf1,1.120325314,0.055,0.076,1
Tm9sf2,0.543280814,0.161,0.293,1.62E-13
Tm9sf3,0.527576009,0.18,0.349,3.08E-19
Tm9sf4,0.391526881,0.249,0.462,1.07E-20
Tma16,1.025477306,0.079,0.125,0.113995366
Tma7,0.975460803,0.118,0.186,0.001447672
Tmbim1,-0.96152421,0.034,0.17,2.37E-48
Tmbim4,0.302435657,0.071,0.159,3.23E-15
Tmbim6,0.431473189,0.167,0.355,1.09E-28
Tmbim7,0,0,0,1
Tmc1,1.244976079,0.004,0.003,1
Tmc2,-2.496701032,0.007,0.084,3.85E-31
Tmc3,-1.863936132,0.003,0.029,1.07E-07
Tmc4,0.064663759,0.019,0.041,0.069908254
Tmc5,1.293419934,0.001,0.002,1
Tmc6,1.302574677,0.006,0.01,1
Tmc7,-0.567903497,0.042,0.157,4.27E-34
Tmc8,1.355922232,0.002,0.003,1
Tmcc1,0.798383366,0.746,0.876,1.98E-68
Tmcc2,3.740923837,0.037,0.011,3.39E-08
Tmcc3,2.716896787,0.051,0.027,0.006004735
Tmcc3os,1.96113738,0.003,0.002,1
Tmco1,0.948542799,0.11,0.186,1.01E-05
Tmco2,0,0,0,1
Tmco3,0.67344983,0.155,0.269,1.31E-09
Tmco4,-1.03772595,0.01,0.078,1.30E-24
Tmco5,-4.83044734,0,0.024,1.40E-08
Tmco5b,-1.225551144,0,0.001,1
Tmco6,0.808656154,0.051,0.08,1
Tmed1,0.735158224,0.044,0.079,0.015164033
Tmed10,0.874631321,0.187,0.288,0.001872473
Tmed11,0,0,0,1
Tmed2,1.139879748,0.15,0.212,1
Tmed3,1.538149212,0.034,0.034,1
Tmed4,1.45802422,0.073,0.092,1
Tmed5,0.94152859,0.137,0.195,1
Tmed6,-0.795059676,0,0.002,1
Tmed7,0.461506494,0.096,0.206,1.72E-17
Tmed8,-0.303587521,0.09,0.269,1.08E-46
Tmed9,0.371522156,0.204,0.419,1.10E-30
Tmeff1,0.344359771,0.389,0.646,8.46E-10
Tmeff2,-0.336442709,0.459,0.891,1.08E-102
Tmem100,0.919036224,0.001,0.002,1
Tmem101,1.030810333,0.018,0.027,1
Tmem102,0,0,0,1
Tmem104,0.47468244,0.052,0.113,2.87E-09
Tmem106a,-0.190897831,0.008,0.029,0.001271582
Tmem106b,0.308275952,0.065,0.168,3.86E-21
Tmem106c,-0.837436096,0.035,0.164,3.72E-43
Tmem107,0.947719562,0.035,0.054,1
Tmem108,3.500188066,0.965,0.751,0
Tmem109,0.779011189,0.035,0.061,0.81748062
Tmem11,0.088272375,0.054,0.134,7.83E-16
Tmem110,0,0,0,1
Tmem114,0,0,0,1
Tmem115,1.312621301,0.012,0.018,1
Tmem116,-0.200186441,0.041,0.131,3.51E-23
Tmem117,-1.790279,0.158,0.746,0
Tmem119,0,0,0,1
Tmem120a,2.085571784,0.064,0.052,1
Tmem120b,0.380768194,0.135,0.266,1.27E-17
Tmem121,0.849024855,0.023,0.037,1
Tmem121b,-0.850979822,0.02,0.095,4.86E-24
Tmem123,0.134906548,0.025,0.066,2.02E-07
Tmem125,0,0,0,1
Tmem126a,-0.02455628,0.275,0.596,9.34E-56
Tmem126b,-0.401747491,0.03,0.127,1.02E-29
Tmem127,0.952092441,0.108,0.179,0.000113563
Tmem128,-0.490634793,0.065,0.252,2.06E-59
Tmem129,-0.198435263,0.011,0.047,2.61E-09
Tmem130,0.819615285,0.15,0.261,3.77E-09
Tmem131,0.911305388,0.379,0.522,1
Tmem131l,3.389845046,0.521,0.214,1.78E-215
Tmem132a,1.571672242,0.253,0.265,1
Tmem132b,-0.410169286,0.431,0.925,2.08E-112
Tmem132c,7.265730919,0.128,0.005,1.16E-94
Tmem132cos,9.851854155,0.084,0,9.75E-69
Tmem132d,-1.386810865,0.316,0.952,0
Tmem132e,6.471318298,0.012,0,1.69E-07
Tmem134,0.734252556,0.024,0.049,0.107986115
Tmem135,0.077747058,0.363,0.684,4.13E-32
Tmem136,-0.4869443,0.06,0.222,8.12E-49
Tmem138,0.681656013,0.078,0.142,1.53E-06
Tmem139,0,0,0,1
Tmem140,-0.069038382,0.004,0.007,1
Tmem141,0.545659649,0.006,0.01,1
Tmem143,-0.455435436,0.023,0.083,9.65E-16
Tmem144,-5.788550215,0.002,0.179,1.62E-91
Tmem145,2.290741712,0.071,0.046,0.222487798
Tmem147,1.420985769,0.094,0.101,1
Tmem147os,1.146741993,0.009,0.014,1
Tmem14a,-1.15936741,0.017,0.122,1.69E-40
Tmem14c,1.601320101,0.038,0.048,1
Tmem150a,1.927261819,0.149,0.108,0.000104504
Tmem150b,-0.413776558,0.027,0.1,7.39E-20
Tmem150c,1.26660509,0.211,0.277,1
Tmem150cos,-0.093974677,0.019,0.052,7.21E-06
